id,is_lens,prob_lens
object_00005,0,0.0013306431
object_00002,0,0.08427146
object_00000,1,0.9916437
object_00004,0,0.3047228
object_00001,0,0.12687239
object_00006,0,9.412435e-05
object_00008,0,0.19505863
object_00003,0,0.0015018021
object_00011,0,0.0062576295
object_00007,0,3.3852648e-06
object_00012,0,0.010212543
object_00010,0,3.0361649e-05
object_00015,0,0.048645448
object_00013,0,0.06433671
object_00014,1,0.99283844
object_00009,1,0.7426423
object_00017,0,0.002967752
object_00022,0,0.009021118
object_00019,0,0.003514882
object_00021,0,0.000104633335
object_00023,0,0.0010437528
object_00020,0,0.03831362
object_00018,0,0.00069118146
object_00016,1,0.9928889
object_00028,0,0.0006959577
object_00025,0,0.0023391678
object_00029,0,0.0024419902
object_00027,0,0.0025341348
object_00026,0,0.054789335
object_00024,0,0.00071695284
object_00031,0,0.10110543
object_00030,0,0.012134475
object_00032,0,0.0004544816
object_00034,0,0.02562917
object_00033,0,0.0005637449
object_00036,0,0.009799169
object_00039,0,0.012884582
object_00038,0,0.002067738
object_00035,0,0.0012655961
object_00037,1,0.8870146
object_00040,0,0.003084761
object_00042,1,0.9900732
object_00044,0,0.07414164
object_00041,0,0.0035274287
object_00043,0,0.002423633
object_00046,1,0.9756447
object_00045,0,4.641239e-05
object_00047,1,0.9452877
object_00050,1,0.65476215
object_00051,0,0.00011996752
object_00049,0,0.09707466
object_00054,0,0.0023159888
object_00056,0,0.00022691893
object_00052,0,0.47757334
object_00048,0,0.14892484
object_00055,0,0.00034452754
object_00053,0,0.0038410476
object_00058,0,3.4937739e-06
object_00063,0,3.9919913e-05
object_00057,0,0.014708712
object_00062,0,0.15244648
object_00060,0,0.05561086
object_00059,0,0.055532947
object_00061,0,4.3601445e-05
object_00065,0,0.0007537202
object_00067,0,0.00021645446
object_00069,0,0.08133209
object_00070,0,0.058568753
object_00064,0,9.724396e-06
object_00068,1,0.99867886
object_00072,0,3.7408725e-05
object_00076,0,0.10285832
object_00066,0,0.0049426993
object_00074,1,0.6068509
object_00071,0,0.068730205
object_00075,1,0.94178945
object_00078,0,0.1581375
object_00073,0,0.009973969
object_00079,0,0.006977024
object_00077,0,4.3785953e-05
object_00082,0,0.008790254
object_00080,0,0.035735063
object_00081,0,2.517769e-05
object_00083,0,0.00054181425
object_00084,0,0.32292214
object_00087,0,2.157389e-05
object_00088,0,0.00014304584
object_00085,0,0.11319054
object_00093,0,0.0021109853
object_00086,0,0.041257937
object_00091,0,0.07472448
object_00092,0,0.002705322
object_00090,0,0.4904399
object_00094,0,0.0032295668
object_00089,0,0.08874312
object_00095,1,0.9540214
object_00097,0,0.19391154
object_00103,0,0.036712646
object_00104,1,0.9999962
object_00100,1,0.9468004
object_00096,1,0.9809202
object_00101,0,2.491866e-05
object_00105,1,0.9998871
object_00106,0,3.44817e-05
object_00107,0,8.1144106e-05
object_00098,0,0.023112485
object_00099,0,0.0011328716
object_00108,0,0.018578019
object_00111,0,0.012818486
object_00110,0,0.028642055
object_00109,0,0.040166255
object_00102,0,0.00017110673
object_00113,0,0.13976483
object_00112,0,0.0038219884
object_00114,0,0.010557326
object_00119,0,0.00019822843
object_00120,0,0.032797568
object_00116,0,0.015199937
object_00121,0,0.02373983
object_00117,0,3.670613e-05
object_00115,0,0.02683326
object_00122,0,0.0010297883
object_00118,0,0.019191412
object_00123,0,0.0044955276
object_00124,0,0.0023797387
object_00126,0,0.056432117
object_00127,0,0.4220468
object_00125,0,0.0031215055
object_00129,0,0.18606225
object_00130,0,0.031562548
object_00131,0,0.0007245105
object_00132,0,0.0061089387
object_00135,0,0.0044478453
object_00128,0,0.078119285
object_00134,0,0.12979175
object_00133,0,0.0042152475
object_00136,1,0.9994624
object_00138,1,0.97443867
object_00139,0,0.022433713
object_00140,0,0.0002717268
object_00142,0,0.0024262655
object_00141,1,0.8065295
object_00137,0,0.01677241
object_00143,0,0.059076175
object_00148,0,0.008261137
object_00145,0,0.008671205
object_00144,0,0.032654416
object_00147,0,0.0012288018
object_00149,0,0.00014223263
object_00146,0,0.11440303
object_00151,0,0.0008030043
object_00150,0,0.15343887
object_00153,0,0.0030792172
object_00152,0,3.7282793e-05
object_00156,0,0.029629618
object_00159,0,0.00029038388
object_00158,0,0.0058197887
object_00157,0,0.0003579074
object_00155,0,2.8853487e-05
